date,temperature,cloud_coverage,relative_humidity,wind_speed,location,source,day_of_week,hour_of_day
2024-08-20,22.6,64.1,54.7,6.1,Gothenburg,MET,Tuesday,15
2024-08-20,22.4,26.2,56.1,5.5,Gothenburg,MET,Tuesday,16
2024-08-20,21.9,9.6,60.0,5.7,Gothenburg,MET,Tuesday,17
2024-08-20,21.1,20.3,62.5,5.6,Gothenburg,MET,Tuesday,18
2024-08-20,20.3,82.3,61.1,5.1,Gothenburg,MET,Tuesday,19
2024-08-20,20.0,99.1,62.7,5.4,Gothenburg,MET,Tuesday,20
2024-08-20,19.9,96.0,66.3,6.2,Gothenburg,MET,Tuesday,21
2024-08-20,19.5,97.8,68.0,5.8,Gothenburg,MET,Tuesday,22
2024-08-20,18.7,78.9,65.6,5.3,Gothenburg,MET,Tuesday,23
2024-08-21,18.0,52.5,67.2,5.1,Gothenburg,MET,Wednesday,0
2024-08-21,17.1,45.6,69.6,5.0,Gothenburg,MET,Wednesday,1
2024-08-21,16.8,69.8,70.6,5.3,Gothenburg,MET,Wednesday,2
2024-08-21,16.3,63.2,73.7,5.3,Gothenburg,MET,Wednesday,3
2024-08-21,16.1,74.9,78.1,5.2,Gothenburg,MET,Wednesday,4
2024-08-21,16.4,98.9,80.4,5.9,Gothenburg,MET,Wednesday,5
2024-08-21,16.5,100.0,85.3,4.7,Gothenburg,MET,Wednesday,6
2024-08-21,16.6,100.0,92.8,3.8,Gothenburg,MET,Wednesday,7
2024-08-21,16.8,100.0,92.3,3.8,Gothenburg,MET,Wednesday,8
2024-08-21,16.0,100.0,90.2,6.4,Gothenburg,MET,Wednesday,9
2024-08-21,16.1,100.0,83.3,4.3,Gothenburg,MET,Wednesday,10
2024-08-21,16.7,94.8,80.4,5.6,Gothenburg,MET,Wednesday,11
2024-08-21,17.6,74.2,68.1,5.4,Gothenburg,MET,Wednesday,12
2024-08-21,17.9,32.1,68.4,5.6,Gothenburg,MET,Wednesday,13
2024-08-21,18.4,24.4,66.8,5.4,Gothenburg,MET,Wednesday,14
2024-08-21,18.2,41.3,66.2,5.4,Gothenburg,MET,Wednesday,15
2024-08-21,17.9,32.4,68.4,5.4,Gothenburg,MET,Wednesday,16
2024-08-21,17.3,32.7,68.9,5.4,Gothenburg,MET,Wednesday,17
2024-08-21,16.6,38.2,70.6,5.5,Gothenburg,MET,Wednesday,18
2024-08-21,16.0,27.9,72.4,5.5,Gothenburg,MET,Wednesday,19
