date,temperature,cloud_coverage,relative_humidity,wind_speed,location,source,day_of_week,hour_of_day
2024-08-21,15.7,100.0,86,4.3,Gothenburg,SMHI,Wednesday,10
2024-08-21,15.7,87.5,80,3.7,Gothenburg,SMHI,Wednesday,11
2024-08-21,16.5,62.5,72,4.1,Gothenburg,SMHI,Wednesday,12
2024-08-21,17.6,25.0,65,4.2,Gothenburg,SMHI,Wednesday,13
2024-08-21,17.8,25.0,62,4.7,Gothenburg,SMHI,Wednesday,14
2024-08-21,17.7,37.5,63,4.2,Gothenburg,SMHI,Wednesday,15
2024-08-21,17.3,50.0,67,3.8,Gothenburg,SMHI,Wednesday,16
2024-08-21,16.9,50.0,68,4.9,Gothenburg,SMHI,Wednesday,17
2024-08-21,16.1,62.5,69,4.3,Gothenburg,SMHI,Wednesday,18
2024-08-21,15.7,75.0,70,4.9,Gothenburg,SMHI,Wednesday,19
2024-08-21,15.4,87.5,72,4.8,Gothenburg,SMHI,Wednesday,20
2024-08-21,15.0,87.5,74,5.1,Gothenburg,SMHI,Wednesday,21
2024-08-21,14.8,87.5,76,4.6,Gothenburg,SMHI,Wednesday,22
2024-08-21,14.8,87.5,76,4.9,Gothenburg,SMHI,Wednesday,23
2024-08-22,14.8,100.0,73,5.0,Gothenburg,SMHI,Thursday,0
2024-08-22,14.7,100.0,73,5.1,Gothenburg,SMHI,Thursday,1
2024-08-22,14.6,100.0,73,4.5,Gothenburg,SMHI,Thursday,2
2024-08-22,14.4,100.0,73,4.0,Gothenburg,SMHI,Thursday,3
2024-08-22,14.4,87.5,72,5.0,Gothenburg,SMHI,Thursday,4
2024-08-22,14.4,87.5,73,4.2,Gothenburg,SMHI,Thursday,5
2024-08-22,14.9,100.0,70,4.6,Gothenburg,SMHI,Thursday,6
2024-08-22,15.1,100.0,74,4.7,Gothenburg,SMHI,Thursday,7
2024-08-22,15.2,100.0,83,5.1,Gothenburg,SMHI,Thursday,8
2024-08-22,15.5,100.0,89,5.1,Gothenburg,SMHI,Thursday,9
2024-08-22,15.6,100.0,91,4.8,Gothenburg,SMHI,Thursday,10
2024-08-22,15.9,100.0,86,4.0,Gothenburg,SMHI,Thursday,11
2024-08-22,16.6,100.0,83,5.2,Gothenburg,SMHI,Thursday,12
2024-08-22,17.1,100.0,81,6.3,Gothenburg,SMHI,Thursday,13
2024-08-22,17.2,100.0,84,6.4,Gothenburg,SMHI,Thursday,14
2024-08-22,17.1,100.0,88,6.6,Gothenburg,SMHI,Thursday,15
2024-08-22,16.6,100.0,94,6.7,Gothenburg,SMHI,Thursday,16
2024-08-22,16.6,100.0,94,7.3,Gothenburg,SMHI,Thursday,17
2024-08-22,16.7,100.0,94,8.1,Gothenburg,SMHI,Thursday,18
2024-08-22,16.6,100.0,94,8.2,Gothenburg,SMHI,Thursday,19
2024-08-22,16.7,100.0,93,8.1,Gothenburg,SMHI,Thursday,20
2024-08-22,16.7,100.0,93,7.6,Gothenburg,SMHI,Thursday,21
2024-08-22,16.8,100.0,91,8.0,Gothenburg,SMHI,Thursday,22
2024-08-22,16.9,100.0,92,8.2,Gothenburg,SMHI,Thursday,23
2024-08-23,16.9,100.0,92,7.5,Gothenburg,SMHI,Friday,0
2024-08-23,16.9,100.0,94,6.9,Gothenburg,SMHI,Friday,1
2024-08-23,16.9,100.0,95,6.7,Gothenburg,SMHI,Friday,2
2024-08-23,17.0,100.0,95,5.5,Gothenburg,SMHI,Friday,3
2024-08-23,17.1,100.0,94,5.8,Gothenburg,SMHI,Friday,4
2024-08-23,17.1,100.0,96,5.7,Gothenburg,SMHI,Friday,5
2024-08-23,17.3,100.0,95,6.1,Gothenburg,SMHI,Friday,6
2024-08-23,17.5,100.0,95,7.0,Gothenburg,SMHI,Friday,7
2024-08-23,17.6,100.0,95,8.2,Gothenburg,SMHI,Friday,8
2024-08-23,17.6,100.0,94,7.9,Gothenburg,SMHI,Friday,9
2024-08-23,17.5,100.0,94,7.8,Gothenburg,SMHI,Friday,10
2024-08-23,17.3,100.0,93,7.8,Gothenburg,SMHI,Friday,11
2024-08-23,17.4,100.0,93,8.8,Gothenburg,SMHI,Friday,12
2024-08-23,17.3,100.0,93,8.2,Gothenburg,SMHI,Friday,13
2024-08-23,17.3,100.0,94,9.2,Gothenburg,SMHI,Friday,14
2024-08-23,17.6,100.0,92,8.8,Gothenburg,SMHI,Friday,15
2024-08-23,17.6,100.0,92,10.4,Gothenburg,SMHI,Friday,16
2024-08-23,17.9,87.5,92,10.5,Gothenburg,SMHI,Friday,17
2024-08-23,17.8,87.5,92,9.6,Gothenburg,SMHI,Friday,18
2024-08-23,17.8,75.0,83,10.8,Gothenburg,SMHI,Friday,19
2024-08-23,17.0,87.5,83,10.8,Gothenburg,SMHI,Friday,20
2024-08-23,16.0,100.0,77,9.9,Gothenburg,SMHI,Friday,21
2024-08-24,15.3,37.5,80,8.6,Gothenburg,SMHI,Saturday,0
2024-08-24,15.4,87.5,79,6.5,Gothenburg,SMHI,Saturday,6
2024-08-24,17.9,50.0,64,4.9,Gothenburg,SMHI,Saturday,12
2024-08-24,17.4,100.0,92,3.2,Gothenburg,SMHI,Saturday,18
2024-08-25,16.4,100.0,96,3.0,Gothenburg,SMHI,Sunday,0
2024-08-25,15.8,100.0,83,4.1,Gothenburg,SMHI,Sunday,6
2024-08-25,17.4,100.0,68,5.7,Gothenburg,SMHI,Sunday,12
2024-08-25,15.5,100.0,73,5.0,Gothenburg,SMHI,Sunday,18
2024-08-26,14.5,12.5,76,5.7,Gothenburg,SMHI,Monday,0
2024-08-26,15.4,25.0,75,5.7,Gothenburg,SMHI,Monday,6
2024-08-26,17.8,37.5,69,7.9,Gothenburg,SMHI,Monday,12
